analysis_id,j947m83703226yc
pvalue,0.5309801
parameter_id,IMPC_IMM_071_001
gene_accession_id,MGI:95457
mouse_strain,C57BL
parameter_name,MZB (CD21/35 high)
mouse_life_stage,E15.5
gene_symbol,Mecom
