gene_symbol,Zc2hc1a
analysis_id,kszh47s226j28g4
pvalue,0.1460571
mouse_strain,C57BL
parameter_name,Total T cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:1914556
parameter_id,MGP_MLN_001_001
