parameter_id,MGP_BMI_013_001
mouse_strain,C50BL
gene_symbol,Frmpd1
pvalue,0.07114129
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
analysis_id,0s5gwb55udjpqyz
parameter_name,Immature B cells (Hardy fraction E) - % of CD45+
