parameter_name,Lean/Body weight
parameter_id,ESLIM_005_001_702
pvalue,0.583221
gene_symbol,Snap23
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
analysis_id,o7yy5s0b51297ui
gene_accession_id,MGI:109356
