analysis_id,q0ji31751657021
parameter_id,IMPC_CBC_009_001
gene_accession_id,MGI:2670995
mouse_life_stage,Early adult
parameter_name,Calcium
mouse_strain,C57BL
pvalue,0.1675793
gene_symbol,Trp53i11
