parameter_id,HMGULA_HWT_008_001
analysis_id,p801b72lum7mw66
pvalue,0.7480281
parameter_name,Heart weight
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1924360
gene_symbol,Gpbp1l1
