pvalue,0.5347845
gene_symbol,Lpgat1
parameter_id,IMPC_ECG_004_001
parameter_name,RR
mouse_life_stage,E18.5
analysis_id,kdo8690271r3i9m
mouse_strain,C57BL
gene_accession_id,MGI:2446186
