analysis_id,3tvmhu55d220775
mouse_life_stage,Early adult
pvalue,0.6043738
parameter_name,Mean corpuscular hemoglobin
gene_symbol,Arpc5l
parameter_id,IMPC_HEM_006_001
gene_accession_id,MGI:1921442
mouse_strain,C57BL
