gene_symbol,Ufc1
mouse_life_stage,Early adult
pvalue,0.8674494
parameter_id,M-G-P_005_001_004
parameter_name,Bone Mineral Density (excluding skull)
analysis_id,24z5j8v57v53154
mouse_strain,C57BL
gene_accession_id,MGI:1913405
