parameter_id,HRWLLA_OFD_013_001
mouse_life_stage,Early adult
pvalue,0.4182484
gene_symbol,Psd4
analysis_id,x50mv4idlep28lx
gene_accession_id,MGI:2674093
mouse_strain,C57BL
parameter_name,Periphery average speed
