parameter_name,Startle response
gene_symbol,Sprr1b
analysis_id,769kd21ou6yw7bd
gene_accession_id,MGI:106659
parameter_id,ESLIM_008_001_013
mouse_strain,C57BL
pvalue,0.7919636
mouse_life_stage,Early adult
