parameter_id,IMPC_OFD_018_001
mouse_strain,C57BL
analysis_id,18yeu9wq2p9iz6l
gene_symbol,Sfpq
mouse_life_stage,Early adult
gene_accession_id,MGI:1918764
parameter_name,Latency to center entry
pvalue,0.8906614
