analysis_id,9a8hwm2ko8r4czc
gene_accession_id,MGI:1345282
parameter_id,MGP_PBI_002_001
gene_symbol,Slc30a4
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Alpha beta T cell percentage
pvalue,0.644547
