parameter_name,Retinal Blood Vessels
pvalue,0.2308646
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_024_001
gene_symbol,Lpgat1
analysis_id,i8vvx0i8n97396y
gene_accession_id,MGI:2446186
