parameter_name,Eye
mouse_life_stage,Early adult
analysis_id,do981jud7g23xo9
gene_accession_id,MGI:1921688
gene_symbol,Clvs1
parameter_id,M-G-P_013_001_001
pvalue,0.9955485
mouse_strain,C57BL
