analysis_id,00yf136m421q36b
mouse_life_stage,Early adult
pvalue,0.1999434
gene_accession_id,MGI:1927379
mouse_strain,C57BL
parameter_id,JAX_OFD_015_001
parameter_name,Center resting time
gene_symbol,Rhbg
