analysis_id,7og0h3qm26va28b
gene_symbol,Mecom
parameter_id,IMPC_CSD_033_001
gene_accession_id,MGI:95457
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.2648462
parameter_name,Gait
