gene_symbol,Hpca
gene_accession_id,MGI:1336200
mouse_strain,C57BL
parameter_name,Pericardium Morphology
analysis_id,7m4920b528c46n1
parameter_id,IMPC_GEL_006_001
pvalue,0.4405954
mouse_life_stage,Late adult
