gene_symbol,Extl1
parameter_id,MGP_PBI_033_001
parameter_name,CD8+ KLRG1+ alpha beta T cell number
pvalue,0.1611898
mouse_strain,C57BL
analysis_id,9dn93xs5hhho64j
gene_accession_id,MGI:1888742
mouse_life_stage,Early adult
