parameter_name,White blood cell count
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
analysis_id,qnr13iy4k2iu59h
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.9758606
parameter_id,IMPC_HEM_001_001
