parameter_name,Delayed embryonic development
analysis_id,eofuu9419i3i3n8
gene_symbol,Rab13
parameter_id,IMPC_GEL_063_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1927232
mouse_strain,C57BL
pvalue,0.8200203
