analysis_id,0j3e3pfgm9v023f
gene_accession_id,MGI:88174
parameter_id,IMPC_CSD_030_001
pvalue,0.3448906
gene_symbol,Bmi1
mouse_strain,C57BL
parameter_name,Tremor
mouse_life_stage,E15.5
