analysis_id,12233eg88s7g6v7
parameter_id,IMPC_CSD_029_001
gene_symbol,Slc30a4
mouse_life_stage,Middle aged adult
parameter_name,Activity (body position)
gene_accession_id,MGI:1345282
mouse_strain,C57BL
pvalue,0.6923257
