analysis_id,g0j0911l9737126
parameter_id,M-G-P_016_001_006
gene_symbol,Slc39a10
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914515
pvalue,0.3405702
parameter_name,Mean-corpuscular-haemoglobin
