analysis_id,5p957g7j9f7rygv
mouse_life_stage,E12.5
parameter_name,Periphery average speed
gene_accession_id,MGI:99501
gene_symbol,Fgb
mouse_strain,C57BL
parameter_id,IMPC_OFD_013_001
pvalue,0.1497993
