analysis_id,w05l02vc775icm4
gene_symbol,Eprs1
parameter_name,Resting Treg cells - % of Treg
gene_accession_id,MGI:97838
parameter_id,MGP_MLN_010_001
pvalue,0.6291587
mouse_life_stage,E9.5
mouse_strain,C57BL
