parameter_name,Red blood cell count
gene_symbol,Rgs20
gene_accession_id,MGI:1929866
analysis_id,8l971goec6zn0kc
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_016_001_002
pvalue,0.7155824
