analysis_id,934kmd1y2rr43fs
mouse_strain,C57BL
parameter_name,Coat - color - abdomen
mouse_life_stage,Early adult
gene_symbol,Dnajc5b
parameter_id,JAXLA_CSD_007_001
pvalue,0.7526194
gene_accession_id,MGI:1913576
