analysis_id,7864f48utt9jw90
gene_accession_id,MGI:1914309
parameter_id,MGP_IMM_073_001
mouse_strain,C57BL
gene_symbol,Ola1
mouse_life_stage,Early adult
parameter_name,Effector CD4+ T helper cells - % of CD45+
pvalue,0.3316772
