parameter_name,Total food intake
pvalue,0.9441996
analysis_id,8nh7frw3o4i14x1
parameter_id,IMPC_CAL_008_001
mouse_strain,C57BL
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
mouse_life_stage,Late adult
