analysis_id,297xn45f5e6m25q
gene_symbol,Sprr1b
pvalue,0.4706985
gene_accession_id,MGI:106659
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Effector CD4+ T helper cells - % of CD45+
parameter_id,MGP_MLN_066_001
