mouse_life_stage,Late adult
gene_accession_id,MGI:1934811
analysis_id,3450k29j94w222a
pvalue,0.3498604
gene_symbol,Nucks1
mouse_strain,C51BL
parameter_id,IMPC_IMM_050_001
parameter_name,Neutrophils
