parameter_name,Time mobile light side
parameter_id,JAX_LDT_003_001
analysis_id,sdo9jep95vsc033
gene_accession_id,MGI:104640
pvalue,0.2595606
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Rab17
