parameter_id,M-G-P_009_001_003
mouse_life_stage,Early adult
pvalue,0.9951208
gene_accession_id,MGI:2444777
mouse_strain,C57BL
gene_symbol,Ncaph
analysis_id,g9lp97amxxa9451
parameter_name,Body weight
