analysis_id,900288evyg2giv9
pvalue,0.6340306
parameter_id,ESLIM_011_001_703
gene_accession_id,MGI:88479
mouse_life_stage,Early adult
gene_symbol,Cpa3
mouse_strain,C57BL
parameter_name,Prepulse inhibition - PP3
