analysis_id,74i9ww39sc1y1iw
mouse_strain,C57BL
pvalue,0.1612643
parameter_id,IMPC_EYE_027_001
gene_accession_id,MGI:1309468
parameter_name,Persistence of hyaloid vascular system
mouse_life_stage,Early adult
gene_symbol,Casq1
