gene_symbol,Zyg11b
parameter_id,IMPC_ACS_006_001
analysis_id,7f3x7vv34c8y238
gene_accession_id,MGI:2685277
mouse_life_stage,Early adult
pvalue,0.5881759
parameter_name,Response amplitude - S
mouse_strain,C57BL
