analysis_id,dh1xg221f3gdh61
pvalue,0.4631119
parameter_name,Distance travelled - total
gene_accession_id,MGI:2140475
mouse_strain,C57BL
gene_symbol,AU040320
parameter_id,HRWLLA_OFD_020_001
mouse_life_stage,Early adult
