analysis_id,13z47d6gakn7usi
gene_symbol,Etfdh
mouse_strain,C57BL
pvalue,0.7810058
parameter_id,IMPC_ABR_012_001
parameter_name,30kHz-evoked ABR Threshold
gene_accession_id,MGI:106100
mouse_life_stage,Early adult
