parameter_name,Center resting time
gene_symbol,Rap2b
pvalue,0.476341
mouse_life_stage,Early adult
gene_accession_id,MGI:1921262
mouse_strain,C57BL
analysis_id,62aj31a5u318sq8
parameter_id,JAX_OFD_015_001
