parameter_name,Triglycerides
pvalue,0.5797986
gene_accession_id,MGI:2444554
parameter_id,HMGULA_CBC_017_001
gene_symbol,Mapkap1
mouse_strain,C57BL
analysis_id,07u7lh800y3k340
mouse_life_stage,E15.5
