analysis_id,0747l49l59v59ta
gene_symbol,Kif24
mouse_strain,C57BL
pvalue,0.533239
gene_accession_id,MGI:1918345
mouse_life_stage,Early adult
parameter_name,Persistence of hyaloid vascular system
parameter_id,IMPC_EYE_027_001
