parameter_name,% Freezing duration habituation-1
gene_symbol,Morn5
pvalue,0.3198815
parameter_id,ICS_FEA_016_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1922745
analysis_id,83a0125160mx475
