parameter_name,Neutrophils
parameter_id,IMPC_IMM_050_001
gene_accession_id,MGI:1913405
analysis_id,8n4j4coj46l2u85
mouse_life_stage,Early adult
pvalue,0.3588359
gene_symbol,Ufc1
mouse_strain,C57BL
