analysis_id,14w67kc38tf410j
parameter_id,JAX_LDT_009_001
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
pvalue,0.7898167
mouse_life_stage,Late adult
parameter_name,Percent time in light
mouse_strain,C57BL
