parameter_name,Heart weight
pvalue,0.6667165
parameter_id,HMGULA_HWT_008_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
analysis_id,1nk7oe070e98159
gene_symbol,Inpp1
