parameter_name,Lower teeth appearance
gene_accession_id,MGI:1913105
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2078847
gene_symbol,Slc28a2
parameter_id,IMPC_CSD_070_001
analysis_id,278l66146p8zhh1
