parameter_name,B Cells
parameter_id,IMPC_IMM_063_001
analysis_id,7f897xl0ylj265t
mouse_strain,C57BL
gene_symbol,Tiprl
pvalue,0.2103406
mouse_life_stage,E12.5
gene_accession_id,MGI:1915087
