gene_symbol,Uckl1
gene_accession_id,MGI:1915806
pvalue,0.4183388
parameter_id,IMPC_EYE_008_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,d1dl8t7b0x1086f
parameter_name,Corneal opacity
