analysis_id,8w0gga3b38u6sum
pvalue,0.1487734
mouse_strain,C57BL
gene_symbol,Rap2b
gene_accession_id,MGI:1921262
mouse_life_stage,Early adult
parameter_name,Humerus
parameter_id,IMPC_XRY_021_001
