parameter_name,Head coat/hair presence
pvalue,0.8662022
gene_symbol,Amigo1
mouse_life_stage,Early adult
parameter_id,MGP_CSD_015_001
gene_accession_id,MGI:2653612
mouse_strain,C57BL
analysis_id,07czzu64b66848n
