parameter_name,Femur
gene_symbol,Fgb
gene_accession_id,MGI:99501
mouse_strain,C57BL
analysis_id,a4f3p37b8ryf2bx
pvalue,0.3845265
parameter_id,IMPC_XRY_024_001
mouse_life_stage,Early adult
