gene_symbol,Maco1
mouse_strain,C57BL
parameter_name,Right kidney weight
parameter_id,IMPC_OWT_004_001
mouse_life_stage,Early adult
pvalue,0.7133828
gene_accession_id,MGI:1913396
analysis_id,a0enwy342517ilr
