gene_symbol,Pum1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Distance travelled - total
parameter_id,JAX_OFD_020_001
pvalue,0.8939722
gene_accession_id,MGI:1931749
analysis_id,mrgu5464ffk46y0
