analysis_id,2j0bgqaj7zs6mjo
gene_symbol,Slc39a10
parameter_id,JAXLA_DXA_003_001
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:1914515
pvalue,0.08093282
parameter_name,Lean mass
