parameter_name,lens opacity
analysis_id,64bygjk5b889l51
gene_accession_id,MGI:1924315
mouse_life_stage,E9.5
gene_symbol,Ints7
mouse_strain,C57BL
pvalue,0.4981678
parameter_id,M-G-P_014_001_010
