analysis_id,p1394fwgt7x1o0j
mouse_strain,C57BL
parameter_name,IgD+ mature B cell percentage
gene_symbol,Cpa3
gene_accession_id,MGI:88479
mouse_life_stage,Early adult
pvalue,0.7420055
parameter_id,MGP_PBI_015_001
