parameter_id,JAXLA_CSD_077_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2446274
parameter_name,Contact righting
pvalue,0.05655798
gene_symbol,Frmpd1
analysis_id,129fyj47w37u1mf
