analysis_id,88k1n497m0lt51x
gene_accession_id,MGI:1914050
parameter_id,IMPC_CSD_033_001
mouse_strain,C57BL
pvalue,0.3484714
gene_symbol,Trp53rkb
mouse_life_stage,Early adult
parameter_name,Gait
