gene_symbol,Nr0b2
parameter_id,IMPC_HEM_008_001
mouse_life_stage,Early adult
pvalue,0.9147387
parameter_name,Platelet count
gene_accession_id,MGI:1346344
analysis_id,x30h4s8vwb726ps
mouse_strain,B6J
