analysis_id,c2aw611cg19y0b7
gene_accession_id,MGI:88174
parameter_id,JAXLA_DXA_007_001
gene_symbol,Bmi1
pvalue,0.3694365
mouse_strain,C57BL
parameter_name,BMC/Body weight
mouse_life_stage,Early adult
