analysis_id,61104a5jjns326o
parameter_id,M-G-P_012_001_005
mouse_strain,C57BL
gene_accession_id,MGI:1929242
parameter_name,Body Weight
mouse_life_stage,Early adult
gene_symbol,Ivd
pvalue,0.4777874
