analysis_id,vr8sda57n62n0b0
pvalue,0.6629699
mouse_strain,C57BL
parameter_name,CD103+ CD11b-low cDC - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:1913838
gene_symbol,Cmpk1
parameter_id,MGP_IMM_131_001
