analysis_id,d38454op6zkspgp
mouse_strain,C57BL
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
parameter_id,MGP_PBI_009_001
pvalue,0.9826612
gene_accession_id,MGI:105072
gene_symbol,Rab22a
mouse_life_stage,Early adult
